"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"NB.C9",0.4666,0.5921,0.3662,0.3406,0.3328,1.5493,1.8398,0.3361,0.6458,2.9562,2.0263,0.6669,0.2104,0.4824,0.2714,0.7082,0.8244,0.6164,0.9357,0.3342,0.1436,1.2922,0.2013,5.8861,0.4638,1.1853,0.2576,0.4442,0.4461,0.4963,2.3253,1.2077,0.7797,0.5858,1.3786,0.5547,3.545,1.7221,0.3214,0.1634,0.2002,0.7457,0.1218,0.7949,1.4046,0.6623,0.6262,1.9918,0.4597,0.2972,0.1954,0.9184,0.5465,0.8483,0.6076,1.0176,1.699,0.3727,0.1935,0.4202,0.1555,2.4891,0.7714,0.3978,0.7837,0.2539,0.3553,0.4163,0.9329,2.2363,0.152,0.3341,1.2016,1.0823,0.2844,0.2172,1.1248,0.303,0.5325,0.3222,0.2602,0.5543,0.171,1.066,3.5115,1.6661,0.2381,0.5339,0.3258,1.043,1.2471,0.1925,0.3853,0.5341,0.2995,0.4562,1.2017,0.515,1.5343,0.667,0.5742,0.7769,2.5461,0.1884,0.485,0.2367,0.3486,2.9929,0.2273,1.2068,0.1167,0.9285,0.4272,0.8023,0.6315,0.5521,2.9998,0.3559,1.6183,0.1446,0.7519,1.012,1.3207,0.1407,0.2475,0.3426,0.1032,3.9043,0.1992,0.4782
"NB.C8",0.2153,0.2265,0.2317,0.4107,0.3692,2.1391,2.7871,0.35,0.1385,5.1345,1.2516,0.4053,0.3361,0.545,0.242,0.343,0.7386,0.6321,0.8031,0.2751,0.1814,0.6829,0.4699,5.7972,0.3787,0.9153,0.3331,0.363,0.3312,0.2547,2.7073,1.3287,0.51,0.4669,2.3531,0.5433,3.2886,0.7846,0.9281,0.4877,0.3908,1.1522,0.2242,0.856,0.8692,0.2379,0.4234,4.1725,0.6176,0.2903,0.5273,1.0946,0.4628,0.5406,1.3143,3.8385,0.9394,0.5822,1.615,0.463,0.1966,2.3448,0.6879,0.0934,0.8094,0.3682,1.9228,0.5122,1.4641,2.0667,0.2362,0.2091,0.7384,1.1061,0.428,0.5522,1.438,0.3473,0.4617,0.6109,0.1889,0.6339,0.2334,1.2955,4.9749,3.3087,0.1089,0.4485,0.3918,0.7499,1.0045,0.2832,0.2518,0.255,0.3222,0.4042,1.1518,0.3691,1.3114,0.6221,0.5928,1.2053,2.9859,0.2679,0.3701,0.349,0.247,2.2666,0.308,1.3836,0.0946,2.3948,0.2026,0.5977,0.516,1.0959,1.4809,0.5064,0.8701,0.1497,0.3478,0.6481,0.3191,0.1408,0.4963,0.2834,0.0953,2.8745,0.0756,0.1814
"RMS.C4",0.2668,0.0263,0.4552,0.4548,0.4743,2.4341,1.1365,0.7761,0.0965,1.0887,3.3342,0.5238,0.4008,0.0743,0.2941,0.2803,0.5126,0.8407,0.2972,0.2869,0.0729,0.5094,0.5004,7.9532,0.62,0.5124,0.2688,0.4985,0.2448,0.1164,1.6555,1.4639,0.4532,0.4141,2.5516,0.7242,2.9003,2.5764,0.8119,0.6692,0.2158,1.5949,0.0736,1.5405,1.7278,1.078,1.2425,3.7537,0.3771,0.5613,0.3081,0.6466,0.6254,0.2092,0.3587,1.7654,0.7295,1.1155,0.1297,0.2321,0.4562,7.5371,0.2156,0.1815,0.9959,0.1259,5.3138,0.1642,2.4282,0.9943,0.0992,0.5672,0.4767,0.573,0.6104,0.35,0.1058,0.1796,0.1064,0.0725,0.4503,0.3997,0.4095,0.9813,2.9336,2.6828,0.2746,0.228,0.4341,1.4809,0.9702,0.2946,0.672,1.1964,0.3542,0.9893,1.0116,0.4858,1.7635,0.4983,0.1308,0.0745,2.036,0.937,0.506,0.146,0.3232,2.0979,0.4976,0.6332,0.1577,1.7316,0.1095,0.1711,0.3805,0.0567,0.5927,6.0234,0.4976,0.3942,0.4894,0.4316,2.1013,0.2068,0.0257,0.7806,0.2891,0.8622,0.5158,0.3391
"RMS.C3",0.4234,1.1608,1.0004,0.3795,0.3539,2.2585,4.756,0.5533,0.2913,3.533,3.7375,0.8498,0.2666,0.3164,0.2026,0.7663,0.7715,0.5962,0.4263,0.2755,0.2437,1.0732,0.4286,3.401,0.7651,1.2104,0.2734,0.3674,0.4924,0.3182,1.9196,1.2259,0.9571,0.6663,3.9416,0.8161,3.6563,0.63,1.5909,0.9452,0.3421,1.8685,0.4967,0.9773,1.2243,0.2466,1.6072,3.6361,0.5911,0.4947,1.172,1.06,0.6268,0.7454,0.3925,1.6364,0.9711,0.7681,0.362,0.412,0.2589,2.5559,0.6462,0.2868,1.0461,0.3007,2.0079,0.3426,2.041,1.434,0.4609,0.3717,0.31,1.3682,0.384,1.1701,1.1094,0.483,0.3982,0.5777,0.2709,0.8188,0.4019,1.5183,3.8851,1.9726,0.2202,0.4499,0.5384,1.1226,0.8308,0.4028,0.8958,0.5984,0.5061,0.8807,2.2938,0.2819,0.9198,0.6532,0.4269,0.6028,1.3656,0.7634,0.6414,0.3458,0.5084,0.9987,1.2988,0.4709,0.3218,0.7123,0.7101,0.282,0.803,0.2467,1.3002,4.6947,0.337,0.2579,0.5749,0.2873,0.5175,0.2877,0.2126,1.36,0.2758,0.5306,0.2974,0.5027
"RMS.C9",0.2419,0.7696,0.4512,0.3407,0.2281,3.3982,8.3918,0.7895,0.3121,4.0224,2.9329,0.8817,0.1446,0.8593,0.393,0.2284,1.0813,0.3659,0.2226,0.8728,0.2669,1.0213,0.1376,2.1182,0.3727,1.5389,0.1986,0.0846,0.9531,0.1544,2.1262,1.8894,0.7651,0.2939,4.0948,0.7553,2.4866,0.2035,0.8794,0.9717,0.6796,0.5173,0.2591,2.7847,0.4435,0.0591,1.0252,7.4247,1.1867,0.4153,0.882,1.1707,0.4454,0.235,0.1792,6.2915,1.4891,0.813,0.293,0.49,0.19,6.2479,0.6687,0.1648,0.5457,0.406,0.4684,0.2022,1.7302,3.8567,0.406,0.1134,0.1863,0.8216,0.1976,0.5823,2.1345,0.2178,0.1493,0.6808,0.2285,0.2439,0.1774,0.5429,5.8391,0.6524,0.0595,0.0675,0.4795,0.9993,0.2284,0.4896,0.1998,0.2846,0.383,0.5183,0.7396,0.4529,1.5002,1.3756,0.2917,0.4359,2.3762,1.0208,0.2172,0.2536,0.3979,0.6721,1.2969,0.3625,0.1568,0.2318,0.7566,0.2633,0.1876,0.1619,0.6747,4.9147,0.0483,0.2471,0.5452,0.1237,0.5219,0.1623,0.4031,1.4717,0.284,0.4153,0.2744,1.4465
"RMS.C2",0.4505,0.309,0.2045,0.3995,0.2513,2.4114,1.9914,0.6716,0.2547,1.6397,2.704,0.6579,0.2341,0.4398,0.3293,0.3386,0.5827,0.4296,0.4246,0.4291,0.1562,1.4622,0.3251,2.8153,0.591,0.8238,1.7565,0.1935,0.5439,0.1204,1.922,1.3113,0.8589,0.1745,4.4712,0.3763,2.8354,0.6569,0.9293,0.7005,0.1938,0.9379,0.1573,1.7818,0.6026,0.1867,1.1286,4.2445,0.5638,0.3256,0.1596,0.9121,0.5015,0.2235,0.1605,1.9033,0.5956,0.6325,0.1184,0.2561,0.1391,3.3161,0.6979,0.248,0.6461,0.4597,1.7285,0.2406,0.9693,1.5072,0.1912,0.3893,0.3437,0.8772,0.1533,0.3249,0.6055,0.249,0.174,0.3836,0.0952,0.2816,0.3915,0.6894,5.3969,1.3448,0.1881,0.3166,0.2366,1.4474,0.5749,3.892,0.2743,0.2005,0.3242,0.6879,0.5685,0.3761,1.3153,1.1685,0.2974,0.4408,2.7142,1.6402,0.2569,0.1854,0.3275,1.1646,1.1924,0.509,0.0867,0.3894,0.3585,0.3369,0.2116,0.535,0.825,1.2661,0.0624,0.1216,2.5257,0.2109,0.9365,0.1213,0.5448,0.4217,0.1848,2.0277,0.1735,0.7983
"RMS.C5",0.5086,0.9549,0.4064,0.8368,0.2973,2.6037,2.6775,1.0283,0.3701,4.8586,3.6076,0.3867,0.3543,0.3388,0.0894,1.5685,1.2883,0.5117,0.5723,0.5824,0.1312,0.8363,0.2224,4.9389,0.1851,1.3397,0.188,0.3273,0.8413,0.1604,2.6866,1.466,1.6143,0.7782,4.0404,0.4181,0.7532,0.5834,0.7706,1.1417,0.5037,1.2205,0.1719,0.7431,0.8431,0.2698,1.0532,3.6196,0.9893,0.2787,0.8019,2.0521,0.634,0.4266,1.0062,2.9063,1.5314,0.8362,0.2985,0.4066,0.1524,5.0013,1.0771,0.3534,1.6914,0.316,1.3204,0.2242,1.4152,2.3298,0.3631,0.4894,1.4104,1.731,1.4585,0.9513,1.0287,0.3712,0.7268,0.4618,0.2042,0.3399,0.2207,1.5416,3.8157,3.9389,0.1971,0.3359,0.7627,0.7228,0.5273,0.4481,0.5248,0.2211,0.2856,0.4317,1.0427,0.0908,1.6044,0.5525,0.1423,0.0788,0.6294,1.4284,0.7104,0.2311,0.6217,2.589,2.1876,1.0669,0.1798,0.2546,0.3144,0.2227,0.9154,0.0722,1.3122,5.1002,0.3701,0.187,0.3321,0.1033,1.0784,0.1774,0.4513,1.4822,0.1575,1.105,0.1511,0.1634
"RMS.C6",0.722,0.5596,0.3564,0.4564,0.7355,2.2497,1.3751,0.7172,0.7905,3.1896,2.4218,0.5176,0.2805,0.1726,0.1491,1.0141,0.9584,0.8301,0.852,0.3818,0.1099,0.7245,0.3427,3.2013,0.1639,1.5919,0.523,0.5028,0.9682,0.7176,2.1255,0.4393,1.1883,0.4022,1.9461,1.3711,1.5181,1.2232,0.9033,0.5333,0.2909,0.807,0.1334,0.9934,1.071,0.9989,1.2464,1.853,0.4564,0.4396,0.6868,1.6593,0.788,0.5141,0.6707,2.2042,2.1592,0.6691,0.154,0.9681,0.166,5.6229,0.9859,0.2885,1.673,0.1147,1.9411,0.5978,1.6229,1.2704,0.3243,0.8487,1.9068,1.5379,1.197,0.4469,1.0238,0.3126,0.7355,0.5528,0.1525,0.228,0.6772,1.3159,1.9143,2.2986,0.2047,0.8402,1.0581,0.6928,1.1056,0.4318,0.5243,1.5794,0.5604,1.0924,0.9339,0.2518,1.7094,1.0536,0.4542,0.0405,1.7701,1.8691,0.5407,0.2726,0.4761,2.7464,0.9659,1.074,0.1889,0.6154,0.3055,0.3189,0.7424,0.3104,0.466,4.4417,0.3011,0.1607,0.2508,0.4881,0.7037,0.4448,0.2221,1.1415,0.345,1.823,0.136,0.3339
"RMS.C7",0.4719,0.6965,0.1637,0.2101,0.5166,1.9032,4.1534,0.4748,0.7167,2.9642,1.7136,0.4427,0.154,0.3902,0.2799,1.5504,1.0338,0.6796,0.4169,0.4916,0.2717,0.9201,0.4309,4.8309,0.2849,1.0454,0.2936,0.244,0.8399,0.1402,1.2267,1.1972,0.8454,0.569,3.4039,0.4199,4.1224,0.3991,0.9405,0.6937,0.2702,1.0057,0.0872,1.6573,0.6861,0.3499,0.9079,5.4818,0.6167,0.2721,0.6273,1.929,0.8321,0.5398,0.4539,3.1254,0.6162,0.3054,0.3701,1.3172,0.1165,3.6446,1.0948,0.232,1.0626,0.3977,1.4307,0.2653,1.4568,3.937,0.2521,0.5758,0.4348,1.0194,0.2198,0.6554,2.0049,0.224,0.5971,0.4323,0.2451,0.5431,0.2468,1.1818,3.8226,2.1208,0.134,0.2275,0.2395,0.9042,0.5086,0.5806,0.4259,0.3191,0.2984,0.547,1.393,0.4354,1.3564,1.0458,0.5538,0.3597,2.3335,1.1219,0.3699,0.1556,0.2931,1.1923,2.3597,0.5012,0.0955,0.5411,1.1852,0.298,0.3482,0.1266,0.9528,4.1913,0.2883,0.211,0.3844,0.1066,1.1871,0.1254,0.3086,2.2364,0.09,0.8602,0.2693,0.316
"RMS.C8",0.1926,1.1236,0.1821,0.0854,0.7549,0.1198,2.3701,0.3533,1.7648,1.8593,0.7881,0.1678,0.3485,0.1334,0.1782,1.3265,0.4861,0.8074,0.77,0.5148,0.0893,0.1869,0.5492,4.0325,0.2145,3.2503,0.5355,0.3926,1.2484,0.9112,0.5317,0.8185,0.2213,0.3277,1.525,0.8458,3.787,1.9992,0.2727,0.4358,0.2483,1.583,0.2084,0.9314,0.9408,0.837,0.2374,1.5417,0.473,0.0783,0.3886,2.0221,0.4657,1.85,0.511,3.9425,0.4835,0.5726,0.5903,0.3149,0.1258,2.1197,0.199,0.4734,1.5596,0.8105,3.0561,0.2339,1.8027,2.4263,0.6723,0.4833,1.4592,0.1039,2.4066,1.3651,2.7436,0.3531,0.5864,1.8547,0.1986,0.9892,0.6487,0.8428,1.3055,2.1751,0.3786,0.4542,0.0846,0.761,0.9065,0.0628,0.0916,0.5714,0.2338,0.6797,0.1614,0.1011,3.516,1.5787,0.316,0.4306,1.0048,0.452,0.2773,0.3201,0.1245,1.2381,0.3815,0.7654,0.1468,0.2179,0.9867,0.4188,0.4948,0.1933,1.3507,3.2493,0.0734,0.4336,0.5419,0.2521,1.46,0.4331,0.4031,0.5678,0.1297,0.6992,0.162,0.3505
"RMS.C10",0.2241,0.6082,0.2317,0.4781,0.3888,2.0234,2.8839,0.3701,0.3546,5.2808,1.8296,0.742,0.133,0.4744,0.3041,0.6622,1.0799,0.5805,0.4449,0.8169,0.1839,1.4627,0.1676,7.4534,0.1887,0.7798,0.4582,0.2129,0.4863,0.0847,2.5094,1.1836,0.5686,0.4632,3.0111,0.4761,3.4903,0.5141,0.3899,0.172,0.1423,0.5173,0.0716,1.4737,0.8774,0.1338,0.9796,2.2931,0.4595,0.2855,0.2702,1.7173,0.6924,0.607,0.8388,1.4424,1.2183,0.5232,0.2385,0.5746,0.0871,3.2284,1.0549,0.0889,0.3857,0.3304,0.1763,0.2623,0.8794,4.3925,0.2047,0.1881,0.4109,1.2659,0.1542,0.3467,1.5448,0.1373,0.4182,0.3457,0.1877,0.5066,0.1337,0.8551,3.2362,2.6605,0.1069,0.1923,0.2933,1.702,0.5018,0.2239,0.3047,0.278,0.2452,0.3526,1.1604,0.2778,0.7434,1.1805,0.3107,0.3878,2.982,1.0142,0.4441,0.2064,0.179,1.8692,1.1779,0.7628,0.0852,0.3555,0.5171,0.2472,0.4558,0.125,1.0156,2.89,0.4342,0.124,0.5107,0.0359,0.8553,0.0959,0.3222,1.5262,0.0423,0.9223,0.0756,0.5697
"RMS.C11",0.2671,0.9628,0.3883,0.0686,1.2453,0.1058,2.5328,0.8934,1.0206,1.636,0.9972,0.312,0.415,0.0972,0.1134,0.752,0.6398,0.9371,0.9555,0.2222,0.0703,0.2545,1.6519,4.0388,0.3646,1.2889,0.5064,0.3807,1.0219,0.4243,0.7017,1.002,0.43,0.4404,2.1957,1.0032,1.9422,0.7174,1.3074,0.3296,0.2526,1.8246,0.2214,1.1313,1.2739,1.3983,0.3187,1.1128,0.6179,0.0925,0.0487,1.2166,0.3936,0.8455,0.4029,3.3217,0.3356,0.7662,0.3526,0.1334,0.1559,1.6734,0.2248,0.4922,2.8111,0.556,2.8692,0.1617,2.1201,1.0426,0.7882,0.8049,1.4928,0.1111,0.8462,0.477,0.9355,0.6756,0.4325,0.9921,0.255,0.9669,0.7213,1.7667,3.2321,2.6294,0.9125,1.0185,0.1144,0.6022,0.5083,0.1158,0.1882,0.8583,0.2514,0.6377,0.1291,0.0676,1.4458,1.2058,0.2551,0.6597,2.0579,1.2929,0.7062,0.458,0.2386,1.0878,0.4299,0.9593,0.3253,0.989,0.6284,0.4721,0.466,0.6389,1.8398,3.5035,0.0609,0.5911,0.477,0.2931,1.2441,0.3968,0.4016,0.5493,0.2123,0.6787,0.1011,0.6855
"RMS.T1",0.186,0.5748,0.5293,0.1665,0.1691,0.1911,1.4401,0.333,0.5489,4.2714,1.7594,0.3042,0.2777,0.2351,0.2074,1.7905,0.8957,0.3116,0.5463,0.174,0.1706,0.8321,0.5368,5.7691,0.1481,1.5489,0.1572,0.1233,0.869,0.5184,0.2728,0.7855,0.1851,0.5503,1.6106,0.2388,4.1619,1.7316,0.8223,0.1795,0.1409,1.6535,0.1551,0.8146,0.259,0.621,0.4108,2.5301,0.3335,0.1516,0.255,1.3815,0.3015,0.8442,0.5453,5.8949,0.4801,0.8791,0.3412,0.2278,0.2122,1.799,0.2547,0.6929,0.7906,0.3811,3.9402,0.1544,0.6357,2.5326,0.9982,0.5702,1.7941,0.1976,0.6669,0.858,1.9976,0.3362,0.4078,0.5797,0.1614,0.5948,0.1862,0.5206,2.5606,2.4921,0.1673,1.1604,0.1359,2.2556,0.8778,0.1593,0.0941,0.6664,0.431,1.2413,0.1491,0.2032,2.0721,0.4367,0.42,0.4482,1.714,2.7899,0.3603,0.2526,0.3306,0.7036,3.2837,0.9217,0.2194,0.4648,0.5138,0.2282,0.5435,0.1941,1.1466,4.953,0.3311,0.4743,0.5727,1.0427,1.3231,0.7036,0.735,1.3681,0.6364,0.8501,0.2649,0.282
"RMS.T4",0.2642,0.4098,0.327,0.1081,0.5472,0.1189,1.9661,0.3785,0.321,1.1054,2.0273,0.236,0.2015,0.2238,0.204,0.6704,0.5775,0.6016,0.8996,0.4004,0.2215,0.9471,1.2287,5.7085,0.1754,1.1525,0.3518,0.5408,0.8833,0.2153,0.1966,0.2031,0.2723,0.4356,1.9039,1.2213,2.0271,1.0124,0.7309,0.2947,0.1372,3.2267,0.1772,0.9615,1.9797,1.5158,0.5312,3.1228,0.6727,0.1028,0.1657,1.7024,0.4975,0.4448,0.7116,5.5482,0.8632,0.4143,0.2484,0.204,0.2039,3.0906,0.1435,0.6591,2.7532,0.3273,3.0745,0.0908,2.3769,1.2284,0.3152,0.5313,1.0017,0.1188,0.3276,0.3967,0.8571,0.2275,0.4548,0.3143,0.19,0.406,0.7986,1.7819,1.7834,4.1283,1.0605,0.5651,0.1542,1.577,0.3536,0.1218,0.1256,1.2402,0.2435,0.9969,0.1253,0.189,1.3843,0.5716,0.3616,2.1351,1.1637,1.7434,0.7394,0.3627,0.528,1.6742,0.5458,0.6701,0.1461,0.2182,0.5112,0.2067,0.6376,0.6053,1.5433,5.5867,0.1178,0.5384,0.4671,0.9227,2.0865,0.2489,0.4278,1.6514,1.0284,0.4481,0.2956,0.9931
"RMS.T2",0.1601,0.4043,0.5582,0.0938,0.6034,0.1659,1.5057,0.549,1.0915,2.8319,1.5918,0.8388,0.3448,0.3595,0.263,1.6472,0.5064,0.3104,0.3899,0.1596,0.2529,0.669,0.6194,4.7374,0.2613,1.907,0.148,0.2187,1.0138,0.7976,0.2214,0.4646,0.2142,0.5739,1.4662,0.7063,3.5614,1.466,1.2784,0.1859,0.1236,2.2678,0.2571,0.4461,0.4922,0.7128,0.6061,1.8827,0.6268,0.2135,0.1929,1.5656,0.2151,0.3706,0.5279,4.199,0.2812,0.5191,0.5257,0.2579,0.2618,1.6079,0.2948,0.7744,2.6571,0.2396,3.1416,0.1395,2.1525,1.4518,0.5811,1.2746,3.1735,0.2204,0.7245,0.9054,1.1144,0.2606,0.3355,0.5338,0.2309,0.4686,0.4733,1.008,2.3868,1.9208,0.2807,1.0695,0.172,1.0031,1.0487,0.105,0.147,0.5907,0.2635,1.2618,0.1723,0.2771,3.5049,0.2748,0.3897,0.2461,0.7544,2.6948,0.4695,0.1905,0.2429,0.5715,0.6477,0.3055,0.1796,0.4701,0.3213,0.1605,0.5909,0.3321,1.0831,3.868,0.2398,0.4524,0.6989,0.9922,1.51,0.3922,0.5372,0.7164,0.149,0.4317,0.5903,0.3472
"RMS.T6",0.2622,0.0113,0.3776,0.3012,0.4981,2.6149,0.7716,0.4848,0.0174,1.1733,5.766,0.6545,0.2817,0.1037,0.2003,0.3588,1.0586,0.5081,0.8207,0.1973,0.0749,0.8837,0.5637,7.6715,0.4657,0.5679,0.4559,0.391,0.0902,0.0324,1.765,1.2278,0.4809,0.5096,2.5541,0.5004,4.7393,0.95,1.4825,0.7878,0.0653,3.2457,0.0739,0.8944,1.4775,1.1043,1.5783,2.1341,0.2852,0.4135,0.2215,0.1907,0.5237,0.3692,0.8834,0.6386,0.5974,0.774,0.1074,0.1611,0.3217,3.3471,0.1014,0.1918,0.8277,0.2481,3.1598,0.3299,2.9417,0.7507,0.0882,0.5678,0.4941,0.9037,0.1817,0.3862,0.2179,0.3564,0.1299,0.0978,0.2482,0.397,0.2747,1.0903,2.6053,2.8827,0.2636,0.3471,0.1902,1.6143,1.5628,0.296,0.8895,0.8781,0.2415,0.538,0.9991,0.0991,3.1742,0.4255,0.0673,0.6752,1.9075,0.4222,0.6882,0.202,0.4199,1.0829,0.7543,0.4388,0.3142,1.8275,0.0425,0.2082,0.9109,0.0856,0.867,4.0418,0.1973,0.472,1.0068,0.5988,1.2558,0.1484,0.0749,1.1895,0.5454,0.3335,0.1521,0.8648
"RMS.T7",0.366,0.2443,0.3035,1.0486,0.5204,3.1337,0.3311,0.3239,0.1571,4.3262,2.1736,0.4486,0.3052,0.4376,0.2066,0.3318,0.7872,0.4103,3.682,0.2,0.1098,1.1447,0.5391,0.743,0.3809,0.7936,1.2071,0.2534,0.2911,0.1043,2.6042,0.6952,0.3665,0.5054,2.0353,0.4673,2.0126,0.7068,1.1684,0.2768,0.2168,1.0484,0.1684,2.4434,1.1195,0.8581,2.3476,0.8872,0.2939,0.6514,0.3044,1.6695,0.2076,0.1777,0.6799,2.6912,1.1386,0.7185,0.1452,0.2766,0.1952,3.3478,1.3022,0.3397,0.5398,0.1444,0.3482,0.3722,1.1778,0.5674,0.1526,0.3557,0.4641,1.3552,0.302,0.8045,0.1972,0.3399,0.3016,0.0905,0.1875,0.3454,0.2238,1.4252,7.1138,2.0043,0.12,0.4945,0.2102,1.1347,0.9282,0.3644,0.7387,0.4522,0.1405,0.2275,0.6662,0.1084,0.9187,0.3606,0.1171,0.2194,1.155,0.3642,0.5274,0.1936,0.3839,0.3829,2.4587,0.6567,0.2565,1.1975,0.0937,0.2563,0.4095,0.1292,0.0855,0.5909,0.3757,0.3189,1.0704,0.7256,0.3304,0.2349,0.3075,0.8967,0.3501,0.167,0.1647,1.4401
"RMS.T8",0.77,0.6594,0.2801,0.2604,0.5075,2.0596,2.5259,0.3301,0.6193,3.1233,2.4941,0.6771,0.1871,0.3833,0.6592,0.5952,0.9233,0.4003,0.7612,0.2415,0.1296,0.5692,0.5987,5.6365,0.8917,1.1722,0.9293,0.262,0.6245,0.1319,1.2152,1.1396,0.3517,0.2824,3.0324,0.4872,3.2979,0.5926,0.9095,0.2845,0.1147,3.4337,0.1448,1.5574,1.9936,1.3817,1.1842,2.2865,0.1893,0.3098,0.1506,1.2856,0.2335,0.4441,0.6017,2.4905,0.5876,0.4261,0.1246,0.1347,0.1314,3.4795,0.9647,0.5672,0.4963,0.3649,3.5611,0.736,2.0128,0.8567,0.2368,0.2838,0.6144,1.095,0.2383,0.4382,0.7789,0.2475,0.6956,0.2161,0.1532,0.2713,0.2938,1.2785,3.8928,1.4206,0.1063,0.2819,0.1322,1.0247,1.2592,0.3621,0.5939,1.1386,0.1764,0.4282,1.4077,0.2463,1.5648,0.3485,0.2155,1.1588,0.6065,1.2481,0.4869,0.1653,0.3413,0.4243,1.3481,0.4375,0.42,1.392,0.6056,0.2097,0.3107,0.2059,1.1549,2.0514,0.153,0.3242,0.4558,1.2261,1.7112,0.217,0.1605,0.7162,0.6824,0.2994,0.2031,0.5444
"RMS.T5",0.3958,0.7324,0.5505,0.5902,0.4449,1.1318,5.2634,0.4001,0.9351,6.549,1.4532,0.473,0.3881,0.4085,0.4064,0.9716,0.4967,0.5461,0.4369,0.3811,0.3209,0.6867,0.2565,5.7215,0.4104,0.8738,0.3643,0.3891,0.6727,0.3769,1.9178,0.9053,0.4108,0.4838,2.0658,0.6651,1.9241,0.851,0.4118,0.6266,0.292,0.8841,0.2788,1.1713,1.1817,0.9909,0.8632,1.8552,0.4793,0.4385,0.1751,1.7677,0.5564,0.501,0.669,2.6648,0.7703,0.6809,1.2731,0.404,0.2835,4.6129,1.1383,0.4792,0.4149,0.3437,0.9062,0.4644,1.3049,1.5833,0.2659,0.287,1.2246,1.0984,1.5114,0.6659,1.403,8.3337,1.4197,0.3936,0.3065,0.5108,0.3234,1.4098,4.2551,1.5736,0.2373,0.4946,0.345,0.9597,0.754,0.3906,0.8657,0.6755,0.3449,0.667,0.9046,0.3097,1.757,0.4993,0.3005,0.5133,1.2925,1.243,0.4513,0.367,0.3789,0.6819,1.7372,0.5717,0.3069,2.0513,1.1186,0.3573,0.6135,0.2769,1.9367,7.9145,0.4229,0.3835,1.0298,0.8234,1.5225,0.3138,0.3754,1.1358,0.4988,0.6356,0.3699,0.6624
"RMS.T9",0.7291,0.3663,0.7064,0.475,0.6772,1.9652,1.4271,0.63,0.7713,2.4586,1.285,0.4929,0.5967,0.3447,0.4624,0.6057,0.6226,0.6559,0.4976,0.5681,0.3197,0.8033,0.7489,2.8262,1.0095,0.7681,0.7234,0.5277,0.2952,0.3517,0.7497,1.3988,0.8873,0.6615,1.5506,0.556,1.6563,0.4821,0.8023,0.4563,0.2203,1.3423,0.3464,1.2764,1.131,0.8617,1.4502,2.6621,0.4729,0.607,0.2381,0.7856,0.589,0.3504,0.6111,1.7756,1.0296,0.4723,0.5379,0.2341,0.4762,2.8879,0.5968,0.5738,1.1011,0.5393,2.5125,3.7702,1.3757,0.812,0.2723,0.4491,0.4049,0.8619,0.3712,0.1871,0.4507,0.3972,0.318,0.4341,0.2729,0.4019,0.5907,1.3999,2.74,1.1823,0.385,0.4122,0.4842,0.7972,0.9431,1.0431,0.8535,0.5451,0.5113,0.5414,0.8758,0.5249,1.1312,0.5934,1.3305,0.6358,0.6127,0.2945,0.8975,0.5064,0.611,0.5721,0.6931,0.3658,1.3342,1.2408,1.1176,0.2901,0.8208,0.4067,1.1157,0.701,0.5901,0.5546,1.5496,1.1605,1.8781,0.6465,0.4487,0.4893,0.5796,0.4747,0.6159,0.7206
"RMS.T3",0.2064,0.371,0.3285,0.1707,0.8829,0.1557,0.99,0.4854,0.4261,1.6202,1.8607,0.4797,0.3119,0.3483,0.2125,0.5085,0.7358,0.3238,1.0007,0.2141,0.2182,0.553,0.5978,4.9234,0.202,1.8806,0.1693,0.2679,0.4236,0.6517,0.4763,0.5684,0.2082,0.7514,2.2245,1.8924,5.4353,2.4811,1.7544,0.1981,0.1092,2.5632,0.2141,0.4229,1.2684,0.6333,0.8035,1.7275,0.6142,0.1323,0.1135,0.5318,0.1992,0.4375,0.3406,4.1243,0.2972,0.4471,0.4178,0.5084,0.2879,1.5738,0.1313,0.3662,1.3582,0.6411,1.1235,0.1347,2.765,2.9887,0.529,3.9789,1.2555,0.2266,0.253,0.6947,1.9846,0.1285,0.2096,1.7536,0.2113,0.3697,0.7126,1.0467,3.3283,1.33,0.572,0.4161,0.1672,0.7649,1.1987,0.1261,0.0727,0.2383,0.7564,0.7709,0.1283,0.19,3.0648,0.1661,0.2978,1.0655,1.1598,1.2136,0.3089,0.2379,0.1499,0.5309,0.5032,0.3546,0.1358,0.2784,0.3045,0.2068,0.5646,0.6642,0.8483,2.7369,0.1192,0.2933,0.5495,0.2499,0.8159,0.5889,0.6097,0.646,0.156,1.0611,0.2915,0.6417
